"Rank","RO","state_id","state_name","county_name","county_fips","IATA1","ICAO","Name","City.x","City.y","city","S/L","Hub","Latitude","Longitude","CY 18 Enplanements","CY 17 Enplanements","% Change","Altitude","Timezone","timezone","DST","Tz database","Type","Source"
253,"GL","IL","Illinois","Sangamon",17167,"SPI","KSPI","Abraham Lincoln Capital Airport","Springfield","Springfield","Springfield","P","N",39.84410095,-89.67790222,76950,92048,-0.164,598,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
34,"CE","MO","Missouri","St. Louis",29510,"STL","KSTL","St Louis Lambert International Airport","St. Louis","St. Louis","St. Louis","P","M",38.748697,-90.370003,7631953,7194745,0.0608,618,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
320,"SW","OK","Oklahoma","Payne",40119,"SWO","KSWO","Stillwater Regional Airport","Stillwater","Stillwater","Stillwater","P","N",36.161201477051,-97.08570098877,27321,27370,-0.0018,1000,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
236,"WP","CA","California","San Joaquin",6077,"SCK","KSCK","Stockton Metropolitan Airport","Stockton","Stockton","Stockton","P","N",37.894199371338,-121.2379989624,98908,96201,0.0281,33,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
88,"EA","NY","New York","Onondaga",36067,"SYR","KSYR","Syracuse Hancock International Airport","Syracuse","Syracuse","Syracuse","P","S",43.111198425293,-76.1063003540039,1139568,1013149,0.1248,421,-5,"America/New_York","A","America/New_York","airport","OurAirports"
143,"SO","FL","Florida","Leon",12073,"TLH","KTLH","Tallahassee Regional Airport","Tallahassee","Tallahassee","Tallahassee","P","N",30.3964996337891,-84.3503036499023,384136,350174,0.097,81,-5,"America/New_York","A","America/New_York","airport","OurAirports"
28,"SO","FL","Florida","Hillsborough",12057,"TPA","KTPA","Tampa International Airport","Tampa","Tampa","Tampa","P","L",27.9755001068115,-82.533203125,10368514,9548580,0.0859,26,-5,"America/New_York","A","America/New_York","airport","OurAirports"
303,"SW","AR","Arkansas","Miller",5091,"TXK","KTXK","Texarkana Regional Webb Field","Texarkana","Texarkana","Texarkana","P","N",33.4537010192871,-93.9909973144531,37599,34101,0.1026,390,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
476,"GL","MN","Minnesota","Pennington",27113,"TVF","KTVF","Thief River Falls Regional Airport","Thief River Falls","Thief River Falls","Thief River Falls","CS","None",48.06570053,-96.18499756,4805,5735,-0.1622,1119,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
246,"EA","VA","Virginia","Lynchburg",51680,"LYH","KLYH","Lynchburg Regional Preston Glenn Field","Timberlake","Lynchburg","Lynchburg","P","N",37.3266983032227,-79.2004013061523,83392,82489,0.0109,938,-5,"America/New_York","A","America/New_York","airport","OurAirports"
218,"GL","OH","Ohio","Lucas",39095,"TOL","KTOL","Toledo Express Airport","Toledo","Toledo","Toledo","P","N",41.58679962,-83.80780029,123541,102988,0.1996,683,-5,"America/New_York","A","America/New_York","airport","OurAirports"
539,"CE","KS","Kansas","Shawnee",20177,"FOE","KFOE","Topeka Regional Airport - Forbes Field","Topeka","Topeka","Topeka","CS","None",38.9509010315,-95.6635971069,2965,4901,-0.395,1078,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
174,"GL","MI","Michigan","Grand Traverse",26055,"TVC","KTVC","Cherry Capital Airport","Traverse City","Traverse City","Traverse City","P","N",44.7414016723633,-85.5821990966797,247324,235137,0.0518,624,-5,"America/Detroit","A","America/New_York","airport","OurAirports"
139,"EA","NJ","New Jersey","Mercer",34021,"TTN","KTTN","Trenton Mercer Airport","Trenton","Trenton","Trenton","P","N",40.2766990661621,-74.8134994506836,404349,363654,0.1119,213,-5,"America/New_York","A","America/New_York","airport","OurAirports"
74,"WP","AZ","Arizona","Pima",4019,"TUS","KTUS","Tucson International Airport","Tucson","Tucson","Tucson","P","S",32.1161003112793,-110.94100189209,1753227,1669928,0.0499,2643,-7,"America/Phoenix","N","America/Phoenix","airport","OurAirports"
80,"SW","OK","Oklahoma","Tulsa",40143,"TUL","KTUL","Tulsa International Airport","Tulsa","Tulsa","Tulsa","P","S",36.1983985900879,-95.8880996704102,1482908,1374424,0.0789,677,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
377,"SO","MS","Mississippi","Lee",28081,"TUP","KTUP","Tupelo Regional Airport","Tupelo","Tupelo","Tupelo","P","N",34.2681007385254,-88.7698974609375,13557,11441,0.1849,346,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
534,"SO","AL","Alabama","Tuscaloosa",1125,"TCL","KTCL","Tuscaloosa Regional Airport","Tuscaloosa","Tuscaloosa AL","Tuscaloosa","CS","None",33.220600128174,-87.611396789551,3058,2388,0.2806,170,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
282,"NM","ID","Idaho","Twin Falls",16083,"TWF","KTWF","Joslin Field Magic Valley Regional Airport","Twin Falls","Twin Falls","Twin Falls","P","N",42.4818,-114.487999,47084,45736,0.0295,4154,-7,"America/Boise","A","America/Denver","airport","OurAirports"
280,"SW","TX","Texas","Smith",48423,"TYR","KTYR","Tyler Pounds Regional Airport","Tyler","Tyler","Tyler","P","N",32.3540992736816,-95.4023971557617,48532,49653,-0.0226,544,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
367,"AL","AK","Alaska","Nome",2180,"UNK","PAUN","Unalakleet Airport","Unalakleet","Unalakleet","Unalakleet","P","N",63.88840103,-160.798996,16208,16111,0.006,27,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
315,"AL","AK","Alaska","Aleutians West",2016,"DUT","PADU","Unalaska Airport","Unalaska","Unalaska","Unalaska","P","N",53.900100708,-166.544006348,29229,30080,-0.0283,22,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
414,"AL","AK","Alaska","Valdez-Cordova",2261,"VDZ","PAVD","Valdez Pioneer Field","Valdez","Valdez","Valdez","P","N",61.13389969,-146.2480011,10050,11321,-0.1123,121,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
289,"SO","GA","Georgia","Lowndes",13185,"VLD","KVLD","Valdosta Regional Airport","Valdosta","Valdosta","Valdosta","P","N",30.7824993133545,-83.2767028808594,44609,43738,0.0199,203,-5,"America/New_York","A","America/New_York","airport","OurAirports"
108,"SO","FL","Florida","Okaloosa",12091,"VPS","KVPS","Destin-Ft Walton Beach Airport","Valparaiso","Valparaiso","Valparaiso","P","S",30.4832,-86.525398,683759,567633,0.2046,87,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
403,"NM","UT","Utah","Uintah",49047,"VEL","KVEL","Vernal Regional Airport","Vernal","Vernal","Vernal","P","N",40.4408989,-109.5100021,10658,6615,0.6112,5278,-7,"America/Denver","A","America/Denver","airport","OurAirports"
410,"SO","FL","Florida","Indian River",12061,"VRB","KVRB","Vero Beach Regional Airport","Vero Beach","Vero Beach","Vero Beach","P","N",27.6556,-80.417901,10314,9110,0.1322,24,-5,"America/New_York","A","America/New_York","airport","OurAirports"
546,"SW","TX","Texas","Victoria",48469,"VCT","KVCT","Victoria Regional Airport","Victoria","Victoria","Victoria","CS","None",28.8526000976562,-96.9185028076172,2761,2418,0.1419,115,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
269,"SW","TX","Texas","McLennan",48309,"ACT","KACT","Waco Regional Airport","Waco","Waco","Waco","P","N",31.6112995147705,-97.2304992675781,57344,58888,-0.0262,516,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
490,"AL","AK","Alaska","Bethel",2050,"OOK","PAOO","Toksook Bay Airport","Wade Hampton (Census Area)","Toksook Bay","Toksook Bay","CS","None",60.54140091,-165.0870056,4294,4777,-0.1011,59,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
278,"NM","WA","Washington","Walla Walla",53071,"ALW","KALW","Walla Walla Regional Airport","Walla Walla","Walla Walla","Walla Walla","P","N",46.09489822,-118.288002,49527,49702,-0.0035,1194,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
64,"NE","RI","Rhode Island","Providence",44007,"PVD","KPVD","Theodore Francis Green State Airport","Warwick","Providence","Providence","P","S",41.732601,-71.420403,2117409,1940806,0.091,55,-5,"America/New_York","A","America/New_York","airport","OurAirports"
