Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
552,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,"2,659","2,779",-4.32%
553,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,"2,643","2,505",5.51%
555,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,"2,626","2,413",8.83%
556,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,"2,596","2,595",0.04%
557,AL,AK,NUL,Nulato,Nulato,CS,None,"2,585","2,440",5.94%
558,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,"2,551","2,019",26.35%
561,AL,AK,AKI,Akiak,Akiak,CS,None,"2,525","1,966",28.43%
562,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,"2,506","2,132",17.54%
563,AL,AK,AFM,Ambler,Ambler,CS,None,"2,501","2,175",14.99%
564,AL,AK,PGM,Port Graham,Port Graham,GA,None,"2,486","2,339",6.28%
566,AL,AK,2A3,Larsen Bay,Larsen Bay,GA,None,"2,450","2,651",-7.58%
567,AL,AK,EWU,Newtok,Newtok,GA,None,"2,449","2,602",-5.88%
568,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,GA,None,"2,408","2,633",-8.55%
570,AL,AK,AGN,Angoon,Angoon,GA,None,"2,389","2,107",13.38%
572,AL,AK,AQT,Nuiqsut,Nuiqsut,GA,None,"2,362","2,362",0.00%
575,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,GA,None,"2,269","2,342",-3.12%
578,AL,AK,SHG,Shungnak,Shungnak,GA,None,"2,187","2,360",-7.33%
579,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,None,"2,185","2,335",-6.42%
581,AL,AK,6R7,Old Harbor,Old Harbor,GA,None,"2,163","2,586",-16.36%
582,AL,AK,KEB,English Bay,Nanwalek,GA,None,"2,136","2,190",-2.47%
583,AL,AK,IGT,Nightmute,Nightmute,GA,None,"2,134","1,732",23.21%
584,AL,AK,7AK,Akutan,Akutan,GA,None,"2,126","1,512",40.61%
585,AL,AK,KAL,Kaltag,Kaltag,GA,None,"2,078","1,626",27.80%
586,AL,AK,KTB,Thorne Bay,Thorne Bay,GA,None,"2,075","2,004",3.54%
588,AL,AK,GLV,Golovin,Golovin,GA,None,"2,067","2,029",1.87%
589,AL,AK,4KA,Tununak,Tununak,GA,None,"2,041","1,704",19.78%
590,AL,AK,PIZ,Point Lay,Point Lay LRRS,GA,None,"2,010","1,859",8.12%
591,AL,AK,MCG,McGrath,McGrath,GA,None,"2,006","2,566",-21.82%
593,AL,AK,VEE,Venetie,Venetie,GA,None,"1,918","1,887",1.64%
595,AL,AK,LKK,Kulik Lake,Kulik Lake,GA,None,"1,878","1,393",34.82%
596,AL,AK,MTM,Metlakatla,Metlakatla,GA,None,"1,868","2,201",-15.13%
597,AL,AK,ARC,Arctic Village,Arctic Village,GA,None,"1,857","1,797",3.34%
598,AL,AK,RBY,Ruby,Ruby,GA,None,"1,806","1,982",-8.88%
599,AL,AK,WMO,White Mountain,White Mountain,GA,None,"1,793","1,743",2.87%
600,AL,AK,KQA,Akutan,Akutan,GA,None,"1,791",0,0.00%
605,AL,AK,TPO,Port Alsworth,Port Alsworth,GA,None,"1,723","3,638",-52.64%
607,AL,AK,CGA,Craig,Craig,GA,None,"1,702","1,928",-11.72%
608,AL,AK,SMK,St. Michael (ANV/ANVSA),St Michael,GA,None,"1,699","2,641",-35.67%
609,AL,AK,TYE,Tyonek,Tyonek,GA,None,"1,692","1,674",1.08%
611,AL,AK,KNW,Bristol Bay (Borough),New Stuyahok,GA,None,"1,613","1,412",14.24%
612,AL,AK,WNA,Napakiak,Napakiak,GA,None,"1,580","1,252",26.20%
613,AL,AK,DEE,Deering,Deering,GA,None,"1,576","1,536",2.60%
614,AL,AK,6A8,Allakaket,Allakaket,GA,None,"1,543","1,819",-15.17%
615,AL,AK,MYU,Mekoryuk,Mekoryuk,GA,None,"1,516","1,425",6.39%
616,AL,AK,TER,Teller,Teller,GA,None,"1,506","1,499",0.47%
617,AL,AK,PEC,Pelican,Pelican,GA,None,"1,504","1,185",26.92%
